Action_ID,Merchant_Category_Code,Action_Type,Payment_Method_Name,Card_Holder_Name,CC_Number,CC_Year_expiry,Captured_Status,Amount,Currency_Symbol,Response_Code,Response_Description,Customer_Email,Is_3DS,Attempt_3DS
act_a36wa32ltynu5cujra64njv4jq,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2028,Authorized,2.55,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_ugmkiubdpzcunfyfhl3dgnr7pq,5815,Refund,VISA,Bruce Wayne,453243******0131,2026,Insufficient_funds,3.36,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_hrjyaxfbm52e7hh3wi52abg244,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2025,Authorized,48.55,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_ppma6rmkpikevamqnrrcoax7xu,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2023,Authorized,9.36,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_jf6meboqz3fe3npx2gys4wahcm,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2030,Authorized,1.34,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_jqvp7d37fb5ehn3cqnnk5k2gvy,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2025,Authorized,48.5,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_d6vylewp3poenc2zbxh6bxzmbq,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2028,Authorized,6.76,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_o4jf3c72iznurl4oof3wsvykxu,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2026,Authorized,48.5,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_5emnw5lwo3lexezfgiwcczzkye,5815,Refund,MASTERCARD,Bruce Wayne,518368******4411,2027,Insufficient_funds,48.5,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_2d2swmjsf2subm3pjwduijbyqa,5815,Authorisation,VISA,Steve Ashley,419869******3832,2026,Authorized,1,AED,10000,Approved,6ccd3bd7pi4ufo677gnenlj24e@auto.cko,TRUE,FALSE
